epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.0887,1.62276,6.41652,1.14641,0,0,0,0,1.01322,5.23232,0.95314,2.392e-05,2.392e-05,2.392e-05
2,32.4083,1.54538,6.17363,1.04011,0,0,0,0,0.97352,5.14446,0.90458,4.83961e-05,4.83961e-05,4.83961e-05
3,47.7872,1.54935,5.70355,0.99506,0.00538,0.00717,0.00389,0.00285,0.92911,4.86638,0.89563,7.2378e-05,7.2378e-05,7.2378e-05
4,63.4837,1.53651,5.10672,0.9899,0.01922,0.25717,0.04836,0.03571,0.97906,4.18478,0.9569,9.58656e-05,9.58656e-05,9.58656e-05
5,79.0356,1.56352,4.6635,0.99137,0.5591,0.0868,0.09067,0.06141,1.0197,3.75556,0.97537,9.98816e-05,9.98816e-05,9.98816e-05
6,94.5436,1.54912,4.29391,0.96683,0.61449,0.06676,0.10778,0.07361,0.99837,3.57714,0.97953,9.8852e-05,9.8852e-05,9.8852e-05
7,110.093,1.52968,4.08274,0.96751,0.65386,0.11892,0.12686,0.08707,0.9912,3.42251,0.98383,9.78224e-05,9.78224e-05,9.78224e-05
8,125.425,1.4834,3.88278,0.96937,0.75403,0.09232,0.15492,0.11062,0.98344,3.35787,0.97495,9.67928e-05,9.67928e-05,9.67928e-05
9,140.884,1.48253,3.70436,0.97171,0.71316,0.10034,0.16703,0.11878,0.99072,3.29418,0.98758,9.57632e-05,9.57632e-05,9.57632e-05
10,156.387,1.43666,3.50838,0.96379,0.64923,0.12856,0.18548,0.13527,0.99311,3.21927,0.99864,9.47336e-05,9.47336e-05,9.47336e-05
11,171.842,1.3796,3.30902,0.96171,0.62111,0.1589,0.21287,0.1559,0.97962,2.93528,0.995,9.3704e-05,9.3704e-05,9.3704e-05
12,187.291,1.45641,3.26221,0.96735,0.60193,0.16658,0.22939,0.16609,0.98584,2.84352,0.9995,9.26744e-05,9.26744e-05,9.26744e-05
13,202.903,1.40558,3.02928,0.94879,0.62302,0.19216,0.23469,0.17254,0.97932,2.77102,0.99448,9.16448e-05,9.16448e-05,9.16448e-05
14,218.298,1.41267,3.02616,0.9656,0.69275,0.19037,0.2457,0.17804,0.97805,2.63923,0.99518,9.06152e-05,9.06152e-05,9.06152e-05
15,233.542,1.38798,2.84283,0.93984,0.73679,0.2014,0.25254,0.18615,0.96394,2.62114,0.98804,8.95856e-05,8.95856e-05,8.95856e-05
16,249.009,1.39378,2.88516,0.94911,0.63962,0.18523,0.25365,0.18628,0.99194,2.59477,0.99599,8.8556e-05,8.8556e-05,8.8556e-05
17,264.589,1.39127,2.73105,0.96933,0.67044,0.21133,0.27092,0.19985,0.97526,2.56489,0.98971,8.75264e-05,8.75264e-05,8.75264e-05
18,280.085,1.41289,2.73596,0.96853,0.69593,0.20138,0.28302,0.20185,1.0031,2.55211,0.9969,8.64968e-05,8.64968e-05,8.64968e-05
19,295.515,1.33692,2.50999,0.96081,0.63445,0.24879,0.26836,0.19741,0.98493,2.52388,0.99499,8.54672e-05,8.54672e-05,8.54672e-05
20,311.358,1.38149,2.66144,0.95527,0.57666,0.26794,0.29598,0.21463,0.99683,2.42354,0.98993,8.44376e-05,8.44376e-05,8.44376e-05
21,327.538,1.34039,2.45924,0.94854,0.59865,0.26151,0.30366,0.22138,0.99515,2.39014,1.00183,8.3408e-05,8.3408e-05,8.3408e-05
22,343.657,1.33292,2.51318,0.93574,0.60596,0.29358,0.31944,0.22756,0.99998,2.33147,0.99623,8.23784e-05,8.23784e-05,8.23784e-05
23,358.975,1.32667,2.47003,0.95542,0.65981,0.29826,0.32534,0.23537,1.01469,2.3319,1.00683,8.13488e-05,8.13488e-05,8.13488e-05
24,374.548,1.31546,2.32574,0.93192,0.58824,0.29397,0.32472,0.23537,1.01452,2.24502,1.01109,8.03192e-05,8.03192e-05,8.03192e-05
25,390.001,1.28367,2.28751,0.93909,0.62805,0.27803,0.33101,0.2427,1.00472,2.25972,1.00008,7.92896e-05,7.92896e-05,7.92896e-05
26,405.394,1.28937,2.26649,0.93979,0.55468,0.26854,0.33782,0.24427,1.01345,2.24706,1.0094,7.826e-05,7.826e-05,7.826e-05
27,420.7,1.28918,2.26879,0.94087,0.58047,0.26389,0.33904,0.24633,1.01264,2.23674,1.01034,7.72304e-05,7.72304e-05,7.72304e-05
28,436.019,1.30587,2.17149,0.93874,0.5674,0.27144,0.34129,0.24611,1.01166,2.19912,1.01417,7.62008e-05,7.62008e-05,7.62008e-05
29,451.509,1.28435,2.11979,0.94913,0.59638,0.2812,0.33514,0.24195,1.01818,2.21087,1.01828,7.51712e-05,7.51712e-05,7.51712e-05
30,467.047,1.27135,2.12373,0.92734,0.60907,0.30898,0.36057,0.25919,1.01686,2.09913,1.0131,7.41416e-05,7.41416e-05,7.41416e-05
31,482.424,1.30534,2.11874,0.94968,0.62902,0.31952,0.36199,0.26506,0.99318,2.17194,1.00335,7.3112e-05,7.3112e-05,7.3112e-05
32,497.898,1.23344,2.09217,0.91777,0.62987,0.33306,0.38454,0.27944,0.99166,2.02971,1.00166,7.20824e-05,7.20824e-05,7.20824e-05
33,513.149,1.26293,2.00496,0.93459,0.55307,0.37216,0.37485,0.27575,0.97647,2.06608,1.00115,7.10528e-05,7.10528e-05,7.10528e-05
34,528.445,1.25648,2.0185,0.92658,0.55917,0.32529,0.3649,0.26777,0.98245,2.05987,1.00729,7.00232e-05,7.00232e-05,7.00232e-05
35,543.757,1.25931,1.98445,0.92176,0.59601,0.32534,0.37698,0.27157,0.99055,2.04647,1.01339,6.89936e-05,6.89936e-05,6.89936e-05
36,558.985,1.28215,1.99966,0.93772,0.51505,0.34451,0.3813,0.27458,0.99569,2.13252,1.01211,6.7964e-05,6.7964e-05,6.7964e-05
37,574.106,1.22804,1.94043,0.91842,0.54198,0.33564,0.40021,0.28777,1.00746,2.12921,1.01011,6.69344e-05,6.69344e-05,6.69344e-05
38,589.433,1.19738,1.94459,0.92949,0.6059,0.29611,0.38926,0.28527,1.03111,2.15779,1.03509,6.59048e-05,6.59048e-05,6.59048e-05
39,604.658,1.23231,1.86773,0.92185,0.63318,0.34248,0.3963,0.28029,1.03359,2.09266,1.02639,6.48752e-05,6.48752e-05,6.48752e-05
40,619.847,1.25196,1.91989,0.93079,0.60869,0.34005,0.4024,0.2939,1.00305,2.11833,1.02298,6.38456e-05,6.38456e-05,6.38456e-05
41,635.277,1.22088,1.87661,0.92472,0.5433,0.37137,0.40938,0.28997,1.01699,2.03944,1.01796,6.2816e-05,6.2816e-05,6.2816e-05
42,650.996,1.20899,1.77772,0.92093,0.55367,0.36917,0.41258,0.30193,0.99326,2.0735,1.01529,6.17864e-05,6.17864e-05,6.17864e-05
43,666.51,1.18525,1.76039,0.90771,0.57936,0.32451,0.41431,0.30648,0.99755,2.03563,1.01603,6.07568e-05,6.07568e-05,6.07568e-05
44,681.995,1.19325,1.76152,0.92005,0.57796,0.35958,0.42482,0.31809,0.98589,2.02693,1.0083,5.97272e-05,5.97272e-05,5.97272e-05
45,697.749,1.18464,1.75044,0.90665,0.56984,0.34884,0.42775,0.31458,0.98521,2.00006,1.00637,5.86976e-05,5.86976e-05,5.86976e-05
46,713.19,1.19735,1.75039,0.91214,0.55704,0.34137,0.41804,0.30643,0.9777,1.98906,1.00016,5.7668e-05,5.7668e-05,5.7668e-05
47,728.941,1.17169,1.69105,0.91486,0.59516,0.34314,0.4237,0.31344,0.96557,1.95832,0.99901,5.66384e-05,5.66384e-05,5.66384e-05
48,744.2,1.19337,1.66553,0.92453,0.65943,0.32429,0.42761,0.31442,0.98203,1.9784,1.00683,5.56088e-05,5.56088e-05,5.56088e-05
49,759.61,1.17676,1.73443,0.90738,0.46916,0.38159,0.41824,0.30637,0.9866,1.98126,1.00645,5.45792e-05,5.45792e-05,5.45792e-05
50,774.673,1.16249,1.69269,0.92294,0.53936,0.3789,0.4189,0.30987,0.98342,2.01072,1.01343,5.35496e-05,5.35496e-05,5.35496e-05
51,789.989,1.19563,1.73349,0.92071,0.46079,0.39055,0.41731,0.3027,0.98253,1.99215,1.0096,5.252e-05,5.252e-05,5.252e-05
52,805.402,1.19138,1.653,0.91345,0.60103,0.35008,0.41538,0.30802,0.97607,1.93789,1.0111,5.14904e-05,5.14904e-05,5.14904e-05
53,820.536,1.15763,1.65171,0.91634,0.61193,0.35123,0.4129,0.30355,0.98596,1.93737,1.00662,5.04608e-05,5.04608e-05,5.04608e-05
54,835.735,1.18129,1.64754,0.90774,0.57915,0.35538,0.4139,0.30418,0.98826,1.9835,1.01093,4.94312e-05,4.94312e-05,4.94312e-05
